tag;nome;referencia;preco;fornecedor;marca;aplicacao
4285;MB COLETOR DE ÓLEO CAMBIO AXOR CAIXA G330;3892610665;624.21;;;MB (modelo a definir)
4092;MB COLETOR SAIDA ÁGUA AXOR;A4572010231;1190.00;;;MB (modelo a definir)
3335;MB COLUNA DA DIREÇÃO COMPLETA 1725;RCD193;1004.85;;;MB ATEGO 1725
3157;MB COLUNA DE DIREÇÃO INFERIOR AXOR 3344;RCD170;1176.07;;;MB AXOR 3344
1241;MB COMANDO DE ENGATE AXOR 3344;4213500870;4753.00;;;MB AXOR 3344
2651;MB COMANDO DE ENGATE AXOR 3344 SEMI-AUTO;4213500720;4671.00;;;MB AXOR 3344
398;MB COMPRESSOR 1620 1720;816.0002-0;1480.00;;;MB 1720
2368;MB COMPRESSOR 2423K RECONDICIONADO;RECONDICIONADO;1350.00;;;MB (modelo a definir)
1251;MB COMPRESSOR AR - AXOR 3344 (RECONDICIONADO);9125102011;2000.00;;;MB AXOR 3344
2806;MB COMPRESSOR AR 1720 - RECONDICIONADO;RECONDICIONADO;850.00;;;MB 1720
1321;MB COMPRESSOR DE AR 2423K;4111540051;1795.10;;;MB (modelo a definir)
2664;MB COMPRESSOR DE AR AXOR 3344;9125102011:009;4204.00;;;MB AXOR 3344
4157;MB COMUTADOR DE INGNIÇÃO CHICOTE;940-1124;156.60;;;MB (modelo a definir)
3300;MB COMUTADOR DE PARTIDA DE INGNIÇÃO ATEGO 1725;LCG1224 / DNI2639;242.00;;;MB ATEGO 1725
3225;MB CONE SINCRONIZADO 1° 2° 3° 4° MARCHA 2423K;14330293;543.00;;;MB (modelo a definir)
796;MB CONECTOR SENSOR DE PRESSÃO - AXOR 3344;ETE7741 -/ EG7741;8.88;;;MB AXOR 3344
1841;MB CONECTOR 2 VIAS FREIO AXOR;ETE7687;14.75;;;MB (modelo a definir)
797;MB CONECTOR 4 VIAS FÊMEA REDONDO;ETE7664;41.00;;;MB (modelo a definir)
1898;MB CONECTOR 55 VIAS MODULO MR FEMEA;ETE5156CHI / 9551688;466.35;;;MB (modelo a definir)
1839;MB CONECTOR ALTERNADOR 5 VIAS AXO;500.0726;56.50;;;MB (modelo a definir)
1895;MB CONECTOR CORUJINHA LATERAL AXOR;PL99173794;53.08;;;MB (modelo a definir)
1828;MB CONECTOR DO FAROL 7 POLOS FAROL;107.1417;33.23;;;MB (modelo a definir)
3342;MB CONECTOR DO PISCA;102.1120;16.00;;;MB (modelo a definir)
1892;MB CONECTOR DO PISCA 1720;ETE7365;21.63;;;MB 1720
1903;MB CONECTOR LATERNA DE FREIO AXOR;PL99860097 / 060106;89.90;;;MB (modelo a definir)
1907;MB CONECTOR MODULO MR 16 VIAS AXOR;9152689;245.00;;;MB (modelo a definir)
1899;MB CONECTOR MODULO MR FEMEA MENOR AXOR;ETE5118;134.12;;;MB (modelo a definir)
1900;MB CONECTOR MODULO MR MACHO MAIOR;ETE9155;319.81;;;MB (modelo a definir)
135;MB CONEXAO CURVA TUBULAÇAO COMBUSTÍVEL 1720 AXOR 3344;6939970172;120.00;;;MB AXOR 3344
2925;MB CONEXÃO DA VALVULA;A0004318831;58.00;;;MB (modelo a definir)
4199;MB CONEXAO SERVO EMBREAGEM;0039905968;28.00;;;MB (modelo a definir)
3348;MB CONJUNTO CARCAÇA FILTRO DE AR ATEGO;376 090 5301;977.51;;;MB (modelo a definir)
2135;MB CONJUNTO FILTRO DE AR AXOR;001052;1400.00;;;MB (modelo a definir)
3206;MB CONJUNTO TRAMBULADOR (USADO);;2200.00;;;MB (modelo a definir)
2861;MB CORREA DUPLA 1720;AVX 2X13X1350;140.00;;;MB 1720
1354;MB CORREIA 8PK1380 - F-4000 / 2423K / 13.190 WORKER;8PK1345RC;94.88;;;FORD F-4000
628;MB CORREIA 8PK1645 MB OM457LA AXOR;8PK1645;125.18;;;MB (modelo a definir)
605;MB CORREIA 8PK1646 AXOR 3344;8PK1646;123.00;;;MB AXOR 3344
2180;MB CORREIA 8PK1780 ATEGO (COMBOIO);8PK1780;68.00;;;MB (modelo a definir)
632;MB CORREIA 8PK1939 1725;8PK1939;120.00;;;MB ATEGO 1725
611;MB CORREIA 8PK1940 1725;8PK1940;122.00;;;MB ATEGO 1725
604;MB CORREIA 9PK2340 AXOR 3344;9PK2340;154.74;;;MB AXOR 3344
2204;MB CORREIA ATEGO 1725 CC-01 8PK1385;8PK-1385;58.00;;;MB ATEGO 1725
1942;MB CORREIA ATUALIZAÇÃO S/ AR CONDICIONADO AXOR;8PK1660;102.00;;;MB (modelo a definir)
1027;MB CORREIA AVX13X1015 - 1720;AVX13X1015 / 13A1015C;27.12;;;MB 1720
876;MB CORREIA AVX13X1375 - 1720;;33.53;;;MB 1720
2183;MB COXIM DA CABINE 2423K;R-776;136.00;;;MB (modelo a definir)
306;MB COXIM DA CABINE ATEGO 1725;R-3277;109.62;;;MB ATEGO 1725
2802;MB COXIM DA CAIXA DE REDUÇÃO 1720 14/18;R-456;40.00;;;MB 1720
3284;MB COXIM DA CAIXA DE REDUÇÃO ATEGO 1725;OM906LA;877.00;;;MB ATEGO 1725
4360;MB COXIM DA CAIXA DE REDUÇÃO MB 1418/51 CC-04;BORRACHA;40.00;;;MB 1418
1921;MB COXIM DIANT DA SUSPENÇÃO DO MOTOR ATEGO 1725;R-3255;910.32;;;MB ATEGO 1725
1307;MB COXIM DIANT E TRAS DA SUSP DO MOTOR - AXOR 3344;R-3317;635.85;;;MB AXOR 3344
3233;MB COXIM DIANTEIRO DA SUSPENÇÃO DA CABINE 2324K;R-776;139.00;;;MB (modelo a definir)
308;MB COXIM DO BRAÇO DA ARTICULAÇÃO DO AXOR;R-3455;185.00;;;MB (modelo a definir)
2709;MB COXIM INFERIOR RADIADOR 1725 / AXOR;9585040112;25.00;;;MB ATEGO 1725
2708;MB COXIM SUPERIOR RADIADOR 1725 / AXOR;9585040312;53.00;;;MB ATEGO 1725
313;MB COXIM TRASEIRO DA SUSPENSÃO DO MOTOR ATEGO;R-782;764.00;;;MB (modelo a definir)
2056;MB CRUZETA 134,8MM X 47,6MM 1720;HCZ264 / 801020;165.55;;;MB 1720
583;MB CRUZETA CARDAN DIANTEIRO 126.0X41.3MM ATEGO-1725;801031 / R10002;88.46;;;MB ATEGO 1725
1741;MB CRUZETA CARDAN GRANDE 163X117 - AXOR 3344;HCZ278 / 045354;708.00;;;MB AXOR 3344
1568;MB CRUZETA CARDAN TRASEIRO ATEGO-1725;NUJL140 / 801038;225.32;;;MB ATEGO 1725
880;MB CRUZETA CARDAN UNIVERSAL 1720 / DIAN 1418;201020;112.61;;;MB 1720
1052;MB CRUZETA CARDANZINHO AXOR 3344;HCZ284 / 801036;282.00;;;MB AXOR 3344
4322;MB CRUZETA DO REPARO DO COMPENSADOR AXOR;81356080035;0.00;;;MB (modelo a definir)
1055;MB CRUZETA ENTRE EIXOS AXOR 3344;HCZ286;287.00;;;MB AXOR 3344
3384;MB CRUZETA TRA DO CARDAN DO 14 18;NUJL90;159.00;;;MB (modelo a definir)
1790;MB CUBO PLANETARIO VAZIO (SINO) AXOR;MIC-1841;2502.75;;;MB (modelo a definir)
879;"MB CUICA DE FREIO DIANTEIRA 20"" AXOR 3344 / 2544 1720-1725";1-4539;226.00;;;MB AXOR 3344
731;MB CUICA DE FREIO HASTE 60MM (24X20 POLEGADAS) - AXOR 344;8165037;445.00;;;MB (modelo a definir)
3077;MB DEFLETOR DO RADIADOR AXOR;9685050255;350.00;;;MB (modelo a definir)
482;"MB DIAFRAGMA CUICA 6.1/2"" WABCO TIPO 20 20 X 24 - AXOR 3344";DIAF00;40.90;;;MB AXOR 3344
2249;MB EIXO CAMBOTA;9483254609;7500.00;;;MB (modelo a definir)
3227;MB EIXO DA ENGRENAGEM DA RÉ 2324K;8883246;411.00;;;MB (modelo a definir)
2202;MB EIXO DA TOMADA DE FORÇA 2423K;2423K;1900.00;;;MB (modelo a definir)
2274;MB EIXO DO GARFO DO BLOQUEIO;30.001.815-5;462.56;;;MB (modelo a definir)
4044;MB EIXO S DIANTEIRO LD;EX202AS;478.80;;;MB (modelo a definir)
4043;MB EIXO S DIANTEIRO LE;EX201AS;478.80;;;MB (modelo a definir)
1913;MB EIXO S TRASEIRO DIREITO - AXOR;2210FM379;319.00;;;MB (modelo a definir)
1912;MB EIXO S TRASEIRO ESQUERDO - AXOR;100000118015;334.01;;;MB (modelo a definir)
2294;MB ELEMENTO BICO INJETOR DSLA153P5518 AXOR 3344;DSLA153P5518+;448.00;;;MB AXOR 3344
1438;MB EMBREAGEM KIT (PLATOR, COLAR E DISCO) AXOR 3344;A0272501601;7000.00;;;MB AXOR 3344
84;MB EMBREAGEM VISCOSA DO AXOR;;2190.00;;;MB (modelo a definir)
3140;MB EMBUCHAMENTO DA MANGA DE EIXO AXOR 3344;133379000;630.37;;;MB AXOR 3344
4316;MB ENGRENAGEM PLANETARIA 14 DENTES 26 ESTRIAS;81356170005;0.00;;;MB (modelo a definir)
4323;MB ENGRENAGEM SATELITE 9 DENTES;56170261;0.00;;;MB (modelo a definir)
4210;MB ESGUICHO PARABRISA BRUCUTU (LD);0008603347;62.90;;;MB (modelo a definir)
4211;MB ESGUICHO PARABRISA BRUCUTU (LE) AXOR;0008603247;62.90;;;MB (modelo a definir)
1937;MB ESPELHO DE RODA TRAS DIR. - AXOR;3054231120;180.00;;;MB (modelo a definir)
1938;MB ESPELHO DE RODA TRAS ESQ. - AXOR;3054231020;180.00;;;MB (modelo a definir)
3180;MB ESPELHO RAMPA 1725;M038S;227.00;;;MB ATEGO 1725
1746;MB ESTATOR AXOR 24V 80A;F00M130112 / EG33.0112;255.19;;;MB (modelo a definir)
16;MB ESTATOR AXOR 3344 (SEM CINTA);F000.BL1.9N3;315.86;;;MB AXOR 3344
2032;MB ESTRIBO ESCADA LD - AXOR 3344;;649.00;;;MB AXOR 3344
2033;MB ESTRIBO ESCADA LE - AXOR 3344;;429.00;;;MB AXOR 3344
1378;MB ESTRIBO INFERIOR BORRACHA - AXOR 3344;ESTRIBO;458.09;;;MB AXOR 3344
4171;MB ESTRIBO PISANTE AXOR;M30119;258.00;;;MB (modelo a definir)
1893;MB FAROL DIANTEIRA L/D 1726;F-354;494.32;;;MB ATEGO 1726
1894;MB FAROL DIANTEIRA L/E 1726;F-353;494.32;;;MB ATEGO 1726
3021;MB FAROL DIANTEIRO ATEGO 1725 2009 LD;FM162LD;655.74;;;MB ATEGO 1725
3022;MB FAROL DIANTEIRO ATEGO 1725 2009 LE;FM162LE;655.74;;;MB ATEGO 1725
3203;MB FAROL DIANTEIRO LD 1720;70040122;256.70;;;MB 1720
573;MB FAROL DIANTEIRO LD AXOR 3344;F-206;773.99;;;MB AXOR 3344
3204;MB FAROL DIANTEIRO LE 1720;6938200161;256.00;;;MB 1720
565;MB FAROL DIANTEIRO LE AXOR 3344;F-206;773.99;;;MB AXOR 3344
2804;MB FECHADURA DA CABINE BASCULANTE 1720;50429;617.00;;;MB 1720
4353;MB FECHADURA MECANICA DA PORTA MB 1418 LE;136389;65.00;;;MB 1418
2694;MB FECHO DA TRAVA DA CABINE L/E 1725;72-479;661.87;;;MB ATEGO 1725
2365;MB FEIXE DE MOLA DIANTEIRO ATEGO 1725;A9583202102;2415.00;;;MB ATEGO 1725
2634;MB FEIXE DE MOLAS ADAPTAÇÃO COMPLETO 5 LAMINAS - ATEGO 1725;974.320.4602;3047.00;;;MB ATEGO 1725
2660;MB FEIXE DE MOLAS CONVENCIONAL MERCEDES BENZ MOD. MB-146 COM 12 FOLHAS - AXOR 3344;*1MB146;2476.00;;;MB AXOR 3344
2659;MB FEIXE DE MOLAS PARABOLICAS MERCEDES BENZ MOD. MBP-2419 COM 3 FOLHAS AXOR 3344;1MBP2419;1765.00;;;MB AXOR 3344
1807;MB FILTRO DA VALVULA APU 1720;AL-0012;133.70;;;MB 1720
424;MB FILTRO DA VALVULA APU AXOR 3344;4329012231;164.00;;;MB AXOR 3344
42;MB FILTRO DE AR PRIMARIO 1725;C 28 1012;250.00;;;MB ATEGO 1725
41;MB FILTRO DE AR PRIMARIO C 27 1340 - AXOR 3344;C 27 1340;172.78;;;MB AXOR 3344
56;MB FILTRO DE AR SECUNDARIO CF 1651 - AXOR 3344;CF 1651;113.62;;;MB AXOR 3344
3195;MB FILTRO DE CABINE ATEGO 1726;LA 677;43.57;;;MB ATEGO 1726
4071;MB FILTRO DE COMBUSTÍVEL PARKER RACOR;RE-160J-10M-AQII;0.00;;;MB (modelo a definir)
32;MB FILTRO DE COMBUSTIVEL PU 1046X ATEGO;PU1046X;43.41;;;MB (modelo a definir)
33;MB FILTRO DE COMBUSTÍVEL PU 999/1X AXOR;PU999/1X;75.00;;;MB (modelo a definir)
4072;MB FILTRO DE COMBUSTÍVEL RACOR AXOR;A0004779915KZ;431.00;;;MB (modelo a definir)
382;MB FILTRO DE COMBUSTIVEL SEPARADOR AXOR 3344;PU9198X;78.00;;;MB AXOR 3344
28;MB FILTRO DE COMBUSTIVEL SEPARADOR DE AGUA WK1040;WK1040;84.00;;;MB (modelo a definir)
34;MB FILTRO DE ÓLEO LUBRIFICANTE HU 945/2X - ATEGO 1725 2423K;HU 945/2X;30.00;;;MB ATEGO 1725
25;MB FILTRO DE ÓLEO LUBRIFICANTE HU12110X AXOR;HU12110X;91.82;;;MB (modelo a definir)
55;MB FILTRO DIREÇÃO HIDRÁULICA H601/10 AXOR;H601/10;9.19;;;MB (modelo a definir)
1389;MB FILTRO DO AR CONDICIONADO AXOR 3344;CU4469;107.70;;;MB AXOR 3344
1060;MB FILTRO LUBRIFICANTE - 1720;W1168/5;45.00;;;MB 1720
1549;MB FILTRO RACOOL COMPLETO - AXOR 3344;A0004702490;1040.00;;;MB AXOR 3344
2071;MB FILTRO RACOR AXOR;A9584770115;180.00;;;MB (modelo a definir)
399;MB FILTRO SECADOR AXOR - DS20007;DS200076;110.00;;;MB (modelo a definir)
431;MB FILTRO SEPARADOR COMB. AXOR;A9584770115;150.00;;;MB (modelo a definir)
3368;MB FILTRO SEPARADOR DE ÁGUA WK 1030;WK 1030;77.90;;;MB (modelo a definir)
26;MB FILTRO SEPARADOR DE ÁGUA WK 1060 AXOR;WK1060;77.30;;;MB (modelo a definir)
1160;MB FILTRODEAR PRIMARIO - 2423K;C27902;117.00;;;MB (modelo a definir)
869;MB FLANGE DO CARDAN ORELHA/ESTRIADO DIANT C/CZ271 -1725;S-960;659.72;;;MB ATEGO 1725
1939;MB FLANGEDO CARDAN TRASEIRO ORELHA AXOR 3344;S-369;697.00;;;MB AXOR 3344
3299;MB FLEXIVEL BASCULAR CABINE 1725;9405530682;533.56;;;MB ATEGO 1725
2013;MB FLEXIVEL CILINDRO EMBREAGEM 3700MM AXOR 3344;0002950313;178.11;;;MB AXOR 3344
754;MB FLEXIVEL COMPRESSOR AR - AXOR 3344;3005590;305.64;;;MB AXOR 3344
2906;MB FLEXIVEL CUICA DE FREIO DIANTEIRA AXOR 3344;6964208248;250.00;;;MB AXOR 3344
2905;MB FLEXIVEL CUICA DE FREIO DIANTEIRA AXOR 3344;0004203048;250.00;;;MB AXOR 3344
2057;MB FLEXIVEL DA DIREÇÃO HIDRAULICA ATEGO 1720;DH5261;91.25;;;MB ATEGO 1720
2641;MB FLEXIVEL DE BASCULHAR CABINE - AXOR 3344;;496.00;;;MB AXOR 3344
4309;MB FLEXIVEL DO COMPRESSOR DE AR CARRO DE APOIO 35CM;35X22X15X5/8;659.00;;;MB (modelo a definir)
4289;MB FLEXIVEL EMBREAGEM 3M 1720-1418 14MM ROSCA 1.0 MACHO X 10MM FEMEA ROSCA 1,25 COM CONEXÃO;0002501266;415.00;;;MB 1720
4257;MB GARFO DE EMBREAGEM 1418;46215;188.00;;;MB 1418
4241;MB GARFO DE EMBREAGEM AXOR 350X19;250.18C;443.00;;;MB (modelo a definir)
710;MB GARFO EMBREAGEM RECONDICIONADO AXOR;6552540706;750.00;;;MB (modelo a definir)
2243;MB GARGO DE EMREAGEM 1720;0;359.11;;;MB 1720
3283;MB GRADE FRONTAL ATEGO 1725;;1600.00;;;MB ATEGO 1725
2892;MB GRAMPO 24X102X300;24X102X300;52.00;;;MB (modelo a definir)
1728;MB GRAMPO DE CARROCERIA - AXOR 3344;5892560;536.48;;;MB AXOR 3344
4207;MB GRAMPO DE MOLA TRASEIRO 1720;50X19X 85;700.00;;;MB 1720
2635;MB GRAMPO DE MOLAS DIANTEIRA FEIXE NOVO 18X82X240D - ATEGO 1725;18X82X240D;36.00;;;MB ATEGO 1725
2636;MB GRAMPO DE MOLAS DIANTEIRA FEIXE NOVO 18X82X260D - ATEGO 1725;18X82X260D;39.00;;;MB ATEGO 1725
1786;MB GRAMPO DO FEIXE DE MOLA DIANTEIRO AXOR;20X92X280D;64.17;;;MB (modelo a definir)
2285;MB GRAMPO DO FEIXE DE MOLAS DIANTEIRO - ATEGO 1725;18X82X220;60.62;;;MB ATEGO 1725
1342;MB GRAMPO DO FEIXE DE MOLAS TRAS - AXOR 3344;27X102X470-CA;124.50;;;MB AXOR 3344
1280;MB GRAMPO MOLA TRASEIRA - AXOR 3344;27X102X460;370.00;;;MB AXOR 3344
2258;MB HELICE C/ EMBREAGEM VISCOSA;1932235;1327.00;;;MB (modelo a definir)
1012;MB INDUZIDO M/PARTIDA DELCO 29MT 24V;ZM 83.818;546.19;;;MB (modelo a definir)
3029;MB INFERIOR DA COIFA ALAVANCA CAMBIO;A94289104230064;160.00;;;MB (modelo a definir)
3279;MB INTERRUPTOR DE FREIO A AR AXOR 3344;5588 B-RHO;78.00;;;MB AXOR 3344
3244;MB INTERRUPTOR DE TEMPERATURA DO CAMBIO AXOR;;215.00;;;MB (modelo a definir)
1207;MB INTERRUPTOR DO VIDRO ELETRICO DIANTEIRO DIREITO - AXOR 3344;72-842 / DNI2461;340.00;;;MB AXOR 3344
125;MB INTERRUPTOR DO VIDRO ELETRICO ESQUERDO - IM32913 AXOR 3344;IM32913;262.81;;;MB AXOR 3344
3243;MB INTERRUPTOR INDUCADOR DA TROCA DE MACHA AXOR;0005429218;472.34;;;MB (modelo a definir)
1923;MB INTERRUPTOR PARA ALERTA - AXOR;IM11200;49.59;;;MB (modelo a definir)
678;MB INTERRUPTOR TRANSFERENCIA/BLOQUEIO - AXOR 3344;RHO6643;81.38;;;MB AXOR 3344
1919;MB JG DE GRADE FAROL DIANTEIRO - AXOR;PFC045;338.70;;;MB (modelo a definir)
4350;MB JOGO DE ANEIS FREIO CAIXA CAMBIOS MB G211 G230 G280 G281;9472600718;373.00;;;MB (modelo a definir)
3039;MB JOGO DE REPARO DA REDUZIDA G210 / G211 / G221 / G240;77104 SABO;160.00;;;MB (modelo a definir)
3380;MB JUNTA DA TAMPA DE DISTRIBUIÇÃO AXOR 3344;A4600110180;96.00;;;MB AXOR 3344
532;MB JUNTA DA TAMPA DE VALVULA 2423K;160521;119.00;;;MB (modelo a definir)
1446;MB JUNTA DA TAMPA DE VALVULA OM366 OM366A/LA 1720;3660160321;31.15;;;MB 1720
3207;MB JUNTA DA TAMPA VALVULA MOTOR 1726;76906;181.34;;;MB ATEGO 1726
2947;MB JUNTA DO ALOJAMENTO ALOJAMENTO DA BOMBA D'AGUA D6N;225-8019;220.00;;;CAT D6N
2025;MB JUNTA DO CABEÇOTE MOTOR OM457 AXOR3344;462203;207.24;;;MB AXOR 3344
2909;MB JUNTA DO CABEÇOTE MOTOR OM926;JC48780/6;180.00;;;MB (modelo a definir)
3205;MB JUNTA DO CAMBIO;48860ORTR;1099.53;;;MB (modelo a definir)
3038;MB JUNTA DO COLETOR DE ESCAPE MOTOR OM457;48461AC;15.00;;;MB (modelo a definir)
1263;MB JUNTA DO COMPRESSOR AR - AXOR 3344;4571310180;19.89;;;MB AXOR 3344
2029;MB JUNTA TAMPA DE VALVULA MOTOR OM457 AXOR3344;001796;32.72;;;MB AXOR 3344
4254;MB KIT EMBREAGEM 1418K;340001719;5354.00;;;MB 1418
2246;MB KIT EMBREAGEM 350MM 1720;52659;2845.00;;;MB 1720
1855;MB KIT EMBREAGEM RECONDICIONADA COM GARFO AXOR;EMBREAGEM;4977.00;;;MB (modelo a definir)
4351;MB KIT REPARO DO CAMBIO G210/211/221/240;0239971647/77099;1039.00;;;MB (modelo a definir)
913;MB KIT RETENTOR CUBO REDUTOR TRASEIRO AXOR 3344;02293 / 56005KPRO;134.00;;;MB AXOR 3344
1059;MB KIT RETENTOR E RODA FONICA TRASEIRO AXOR;4.90614 / 147.740;391.00;;;MB (modelo a definir)
998;MB LANTERNA DELIMITADORA TETO LD LE;PL05320007;25.00;;;MB (modelo a definir)
993;MB LANTERNA DO PISCA DIANTEIRO DIR AXOR;PL05920102;59.80;;;MB (modelo a definir)
996;MB LANTERNA DO PISCA DIANTEIRO DIREITO 2423K - 1720 2423K;PL04480101;58.58;;;MB 1720
997;MB LANTERNA DO PISCA DIANTEIRO ESQUERDO 2423K - 1720 2423K;PL04480201;58.58;;;MB 1720
571;MB LANTERNA LATERAL AXOR 3344;PL04760035 / PL0476;63.93;;;MB AXOR 3344
